path	xtension	bytes	last_write_utc
C:\Users\raest\Documents\Karma_SADE\Karma_PDFs\Inbox\ccManagedAgents.PDF	.PDF	7575233	2026-04-09T18:05:40.3624926Z
C:\Users\raest\Documents\Karma_SADE\Karma_PDFs\Inbox\ccManagedAgents.PDF.error.txt	.txt	115	2026-04-09T18:45:10.2568972Z
C:\Users\raest\Documents\Karma_SADE\Karma_PDFs\Inbox\oAOHarnessEng.PDF	.PDF	21231289	2026-04-09T18:05:39.6238601Z
C:\Users\raest\Documents\Karma_SADE\Karma_PDFs\Inbox\oAOHarnessEng.PDF.error.txt	.txt	115	2026-04-09T18:45:20.1429778Z
